,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
503,UQLNwO1V0f,201912.0,20191231.0,736.0,770.0,801.0,801.0,699.0,699.0,C3,0.0
504,SBo12hLL40,202001.0,20200131.0,662.0,657.0,657.0,657.0,657.0,570.0,Z,0.0
505,Goiqjs2zaA,201812.0,20181231.0,,,,,,,C3,0.0
506,bcymWdajiP,201905.0,20190531.0,510.0,510.0,464.0,464.0,,,D,0.0
507,RUnK9NjYJf,201909.0,20190930.0,792.0,792.0,792.0,792.0,792.0,792.0,D,0.0
508,XPhSLWJ8Pb,201809.0,20180930.0,,,,,,,D,0.0
509,owfexzWuSJ,201907.0,20190731.0,775.0,775.0,775.0,775.0,771.0,771.0,C2,0.0
510,UIqyQ4p41d,201812.0,20181231.0,,,,,,,C3,0.0
511,Ln8f5hKG90,201901.0,20190131.0,,,,,,,C3,0.0
512,BAWkQ2CcPI,202001.0,20200131.0,586.0,181.0,133.0,113.0,85.0,190.0,C3,0.0
513,GOPM13B2By,201808.0,20180831.0,,,,,,,C2,0.0
514,4W5u3AWGEm,201809.0,20180930.0,,,,,,,C2,0.0
515,urGZRJRefs,201905.0,20190531.0,575.0,570.0,479.0,234.0,,,E,0.0
516,70bfiOFClg,201904.0,20190430.0,494.0,403.0,448.0,,,,C3,0.0
517,GgnDtUMNjM,202002.0,20200229.0,568.0,655.0,695.0,581.0,485.0,395.0,C1b,0.0
518,9fP0JP9tzb,202001.0,20200131.0,569.0,569.0,478.0,524.0,432.0,614.0,D,0.0
519,1pd8wXJqpN,201908.0,20190831.0,619.0,619.0,484.0,614.0,614.0,734.0,C3,0.0
520,qFrrcG9zKt,201901.0,20190131.0,,,,,,,D,0.0
521,tKbiEikreH,201812.0,20181231.0,,,,,,,C2,0.0
522,EfYUBaYBCk,202002.0,20200229.0,725.0,647.0,647.0,687.0,760.0,760.0,C3,0.0
523,x1rvKXQPy0,201905.0,20190531.0,701.0,701.0,701.0,701.0,,,E,0.0
524,R6wrmPA8bM,201902.0,20190228.0,604.0,,,,,,E,0.0
525,fvqc2I6jpL,201811.0,20181130.0,,,,,,,C3,0.0
526,2sK6VEtXKM,201809.0,20180930.0,,,,,,,C2,0.0
527,oxFLOkeqPK,201903.0,20190331.0,450.0,450.0,,,,,D,0.0
528,ILUz354jcP,202002.0,20200229.0,447.0,447.0,447.0,313.0,313.0,313.0,D,0.0
529,kjx5U78MGy,201912.0,20191231.0,266.0,201.0,201.0,316.0,400.0,400.0,D,0.0
530,RcZXtrmMEl,201912.0,20191231.0,43.0,72.0,86.0,61.0,6.0,7.0,C1b,0.0
