,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
747,GF7dzA5PJR,202001.0,20200131.0,669.0,709.0,709.0,709.0,709.0,628.0,E,0.0
748,8RoebEnBpL,202003.0,20200331.0,761.0,761.0,761.0,761.0,761.0,761.0,E,0.0
749,LOnTmYMzM6,201910.0,20191031.0,804.0,804.0,804.0,804.0,804.0,804.0,D,0.0
750,ifuri8jyRy,201809.0,20180930.0,,,,,,,D,0.0
751,sF8YttKDlc,201904.0,20190430.0,756.0,756.0,756.0,,,,C3,0.0
752,eMSjYB18Yo,202001.0,20200131.0,755.0,816.0,816.0,842.0,790.0,758.0,C3,0.0
753,iUUU2KqUIk,201908.0,20190831.0,700.0,574.0,574.0,574.0,700.0,393.0,E,0.0
754,G2C2lnyn9j,201807.0,20180731.0,,,,,,,C3,0.0
755,bT7AZRy7gk,201912.0,20191231.0,587.0,587.0,587.0,630.0,630.0,630.0,C2,0.0
756,CHZNxsd3YT,201811.0,20181130.0,,,,,,,E,0.0
757,NNnlLZoXbm,201912.0,20191231.0,12.0,23.0,217.0,455.0,188.0,138.0,E,0.0
758,T8zjrdKT5x,201907.0,20190731.0,715.0,715.0,629.0,540.0,540.0,535.0,C1a,0.0
759,F2akbmcY5g,202002.0,20200229.0,189.0,279.0,447.0,487.0,487.0,240.0,C1a,0.0
760,yRPFRXVjGJ,202001.0,20200131.0,804.0,804.0,801.0,801.0,744.0,744.0,C3,0.0
761,kPfRZN2BcR,201907.0,20190731.0,67.0,146.0,206.0,237.0,683.0,683.0,C3,0.0
762,Zfb046l0EV,201810.0,20181031.0,,,,,,,C3,0.0
763,0mEwkiuCBj,201812.0,20181231.0,,,,,,,D,0.0
764,7QBLAdPCOG,201910.0,20191031.0,718.0,718.0,718.0,718.0,718.0,718.0,E,0.0
765,fwQD5YZoe6,201812.0,20181231.0,,,,,,,C3,0.0
766,Vqd9bXJPbp,201809.0,20180930.0,,,,,,,D,0.0
767,s6AoTkQxZ3,201904.0,20190430.0,698.0,735.0,735.0,,,,D,0.0
768,2OwIZOm632,201812.0,20181231.0,,,,,,,C3,0.0
769,MfIg6xoaU8,201808.0,20180831.0,,,,,,,C2,0.0
770,stdJ9vbJ9r,201909.0,20190930.0,739.0,769.0,769.0,769.0,769.0,769.0,D,0.0
771,Ky0UUD6ndS,201810.0,20181031.0,,,,,,,C2,0.0
772,JGVBlhGUD3,202003.0,20200331.0,421.0,558.0,602.0,598.0,553.0,507.0,C2,0.0
773,2EJxd8Mm5Y,201906.0,20190630.0,708.0,704.0,704.0,704.0,704.0,,D,0.0
774,D9qxXduy5S,201901.0,20190131.0,,,,,,,D,0.0
775,rVv1wvS0Qp,202001.0,20200131.0,588.0,588.0,588.0,588.0,588.0,588.0,C3,0.0
776,C0EktX5O9v,201906.0,20190630.0,701.0,701.0,661.0,661.0,661.0,,D,0.0
777,9aDXXYXTEG,201905.0,20190531.0,645.0,645.0,720.0,720.0,,,D,0.0
778,ZuwVWkoJmP,201901.0,20190131.0,,,,,,,C1b,0.0
779,4QigCYAptG,201910.0,20191031.0,701.0,701.0,701.0,701.0,701.0,701.0,E,0.0
780,b5X64oiuac,201906.0,20190630.0,612.0,612.0,733.0,733.0,729.0,,E,0.0
781,HEs5my02Rb,201912.0,20191231.0,576.0,576.0,530.0,662.0,530.0,390.0,E,0.0
782,8m6jNC0rBj,201807.0,20180731.0,,,,,,,C3,0.0
783,G2PviFrW8D,201912.0,20191231.0,797.0,797.0,797.0,731.0,731.0,731.0,C2,0.0
784,ZHriIsfC5z,201909.0,20190930.0,414.0,459.0,459.0,370.0,369.0,369.0,C1b,0.0
785,okTOr8QJkd,201903.0,20190331.0,535.0,489.0,,,,,E,0.0
786,A97x8xaeyb,201810.0,20181031.0,,,,,,,C3,0.0
787,JLHPD3Blec,201902.0,20190228.0,752.0,,,,,,D,0.0
788,DXrlN8nbme,201812.0,20181231.0,,,,,,,C3,0.0
789,YDH2Wagosj,201901.0,20190131.0,,,,,,,C3,0.0
790,vicCmwGuER,201810.0,20181031.0,,,,,,,C3,0.0
791,NtNcD7ALUw,201809.0,20180930.0,,,,,,,C3,0.0
792,hsHTVGvg2e,201904.0,20190430.0,810.0,747.0,780.0,,,,C3,0.0
793,RBwv4hXpzG,201809.0,20180930.0,,,,,,,C3,0.0
794,3xlwXbqGBF,201812.0,20181231.0,,,,,,,E,0.0
795,EX9t21VMRK,201904.0,20190430.0,845.0,845.0,845.0,,,,C2,0.0
796,hFwYyQF6BW,201907.0,20190731.0,758.0,758.0,754.0,754.0,754.0,680.0,D,0.0
797,PhF1LEwRbc,201812.0,20181231.0,,,,,,,C3,0.0
798,tfzWb5XlAJ,201906.0,20190630.0,634.0,634.0,634.0,676.0,750.0,,D,0.0
799,pWB6bwsVHV,201908.0,20190831.0,773.0,773.0,773.0,773.0,773.0,773.0,C3,0.0
800,GuF2lPrKCY,201812.0,20181231.0,,,,,,,D,0.0
801,O5zz7XIfse,201809.0,20180930.0,,,,,,,D,0.0
802,NqH1xCilDx,201907.0,20190731.0,501.0,455.0,305.0,305.0,345.0,117.0,D,0.0
803,mIRBzF1IfB,201809.0,20180930.0,,,,,,,D,0.0
804,U8GlczZZSd,201906.0,20190630.0,763.0,763.0,763.0,795.0,795.0,,C3,0.0
805,i5uidsfacN,201809.0,20180930.0,,,,,,,Z,0.0
806,c1Q8qSKjo4,201911.0,20191130.0,259.0,225.0,348.0,614.0,570.0,642.0,C3,0.0
807,ZhWd1xpSW0,201912.0,20191231.0,845.0,845.0,845.0,845.0,845.0,845.0,C2,0.0
808,DRyZMqEOBr,202002.0,20200229.0,642.0,757.0,789.0,789.0,789.0,757.0,D,0.0
809,8wRdaHtRxY,201909.0,20190930.0,257.0,257.0,41.0,289.0,328.0,6.0,C3,0.0
810,7Q0WRYW266,201808.0,20180831.0,,,,,,,D,0.0
811,pNdnOpNI2g,201912.0,20191231.0,798.0,798.0,798.0,798.0,798.0,795.0,C3,0.0
812,ZhTfVSPLwO,202003.0,20200331.0,565.0,693.0,610.0,605.0,515.0,605.0,C2,0.0
813,k7ma0yD62n,202001.0,20200131.0,580.0,580.0,617.0,617.0,617.0,617.0,C2,0.0
814,c0UR9UGc61,201809.0,20180930.0,,,,,,,C3,0.0
815,7t913FESnF,201807.0,20180731.0,,,,,,,D,0.0
816,86VDoJWOUs,201902.0,20190228.0,710.0,,,,,,D,0.0
817,QAd64FLYFE,202002.0,20200229.0,750.0,750.0,750.0,747.0,630.0,630.0,E,0.0
818,aQjtZdksJa,202002.0,20200229.0,782.0,782.0,675.0,675.0,670.0,742.0,D,0.0
819,TOUBL1ps8x,201810.0,20181031.0,,,,,,,C3,0.0
820,jDu5x4g1yP,201910.0,20191031.0,675.0,750.0,750.0,750.0,750.0,746.0,E,0.0
821,H02lNsoHD6,201908.0,20190831.0,267.0,267.0,345.0,344.0,344.0,340.0,C1a,0.0
822,EykB0ufB2X,201812.0,20181231.0,,,,,,,C2,0.0
823,jP5VaU0nor,202001.0,20200131.0,294.0,294.0,294.0,294.0,294.0,281.0,D,0.0
824,7TOJ56NA0R,202002.0,20200229.0,645.0,645.0,645.0,645.0,645.0,769.0,D,0.0
825,MoLbghq7aA,201809.0,20180930.0,,,,,,,C3,0.0
826,GkFvjC9YXZ,201812.0,20181231.0,,,,,,,D,0.0
827,rMDAQGvvRW,201903.0,20190331.0,738.0,738.0,,,,,D,0.0
828,k0xgvJyH3C,201812.0,20181231.0,,,,,,,D,0.0
829,ZLGNXwImfl,202001.0,20200131.0,643.0,684.0,683.0,722.0,722.0,722.0,C1b,0.0
830,aORX49rIpu,201812.0,20181231.0,,,,,,,D,0.0
831,w2xYM1TaAN,201811.0,20181130.0,,,,,,,E,0.0
832,0WHbhzq7Z1,202001.0,20200131.0,195.0,654.0,611.0,385.0,303.0,343.0,C1b,0.0
833,WB1AUOayeE,201808.0,20180831.0,,,,,,,D,0.0
834,SxP1g0tzFo,201905.0,20190531.0,550.0,550.0,550.0,595.0,,,C3,0.0
835,eIOXC6pOOu,201908.0,20190831.0,231.0,231.0,303.0,303.0,200.0,200.0,C3,0.0
836,YXJHrYT2UG,201903.0,20190331.0,637.0,637.0,,,,,C1b,0.0
837,BPAAAMxcHu,201808.0,20180831.0,,,,,,,C3,0.0
838,nDSNDSrA7t,201812.0,20181231.0,,,,,,,D,0.0
839,YUyaasSRio,201910.0,20191031.0,612.0,612.0,612.0,612.0,612.0,612.0,D,0.0
840,5qfLYyFR6v,201912.0,20191231.0,624.0,608.0,608.0,608.0,518.0,513.0,D,0.0
841,RZSKsBk2om,202002.0,20200229.0,524.0,524.0,524.0,524.0,524.0,267.0,,0.0
842,Yyh6r8nh0n,201908.0,20190831.0,515.0,515.0,590.0,50.0,291.0,287.0,C2,0.0
843,e0HMdqj599,201809.0,20180930.0,,,,,,,C1a,0.0
844,gUUvwwhJre,201912.0,20191231.0,750.0,749.0,749.0,740.0,740.0,740.0,C2,0.0
845,cQruoJggsB,201901.0,20190131.0,,,,,,,C3,0.0
846,P9qfAP0RY0,201912.0,20191231.0,724.0,724.0,759.0,759.0,759.0,759.0,C2,0.0
847,IVb8HxB4az,201901.0,20190131.0,,,,,,,C3,0.0
848,E5GpqMj1TQ,201909.0,20190930.0,174.0,174.0,150.0,479.0,474.0,302.0,E,0.0
849,tUmfRLA4d1,202002.0,20200229.0,666.0,580.0,535.0,443.0,535.0,489.0,E,0.0
850,ZZ8YMNnovn,202002.0,20200229.0,672.0,672.0,672.0,672.0,672.0,631.0,D,0.0
851,cr7ESNvZiS,201807.0,20180731.0,,,,,,,C3,0.0
852,kQuFLdTSEp,201901.0,20190131.0,,,,,,,D,0.0
853,udK1kU4gR5,201904.0,20190430.0,881.0,881.0,881.0,,,,C2,0.0
854,An25D1B9DE,202003.0,20200331.0,559.0,468.0,422.0,422.0,336.0,296.0,C2,0.0
855,rxj7IrKqbg,201902.0,20190228.0,547.0,,,,,,C1b,0.0
856,ph803yM7sm,201908.0,20190831.0,515.0,424.0,424.0,424.0,515.0,515.0,C3,0.0
857,t2K95vMpFj,201810.0,20181031.0,,,,,,,C3,0.0
858,0tqPSx6Ii6,201809.0,20180930.0,,,,,,,C3,0.0
859,eKicC3ZMSm,201904.0,20190430.0,298.0,648.0,648.0,,,,E,0.0
860,ePcEd9wADA,201807.0,20180731.0,,,,,,,D,0.0
861,GRRh39lRwR,201912.0,20191231.0,263.0,309.0,309.0,309.0,392.0,392.0,D,0.0
862,7VWWkns4E7,201912.0,20191231.0,92.0,7.0,9.0,38.0,520.0,565.0,D,0.0
863,oTW1fFemaX,201807.0,20180731.0,,,,,,,C2,0.0
864,v0LXXiBSUq,201909.0,20190930.0,792.0,792.0,792.0,792.0,792.0,792.0,D,0.0
865,IWq1thhZ9C,201910.0,20191031.0,788.0,788.0,817.0,788.0,788.0,680.0,C1a,0.0
866,5zw8jzIDRX,201903.0,20190331.0,24.0,20.0,,,,,D,0.0
867,V7UrbyRz1i,201809.0,20180930.0,,,,,,,C2,0.0
868,v0hNhmECQ1,201908.0,20190831.0,611.0,611.0,611.0,587.0,496.0,491.0,C2,0.0
869,tGx9qvEeq7,201912.0,20191231.0,546.0,542.0,542.0,684.0,684.0,684.0,D,0.0
870,zJRydxM6ZI,201902.0,20190228.0,652.0,,,,,,D,0.0
871,vewqH4FOQa,201811.0,20181130.0,,,,,,,C3,0.0
872,QEASOgMxaS,201807.0,20180731.0,,,,,,,C3,0.0
873,XXjxqAjvQW,202001.0,20200131.0,519.0,519.0,519.0,692.0,774.0,771.0,C3,0.0
874,yMPggamX42,201906.0,20190630.0,733.0,799.0,733.0,733.0,656.0,,D,0.0
875,rwskgT6KvO,201902.0,20190228.0,725.0,,,,,,E,0.0
876,UQTyUoozwj,202003.0,20200331.0,688.0,688.0,688.0,792.0,792.0,792.0,C2,0.0
877,KsAUP2P8td,202002.0,20200229.0,365.0,387.0,387.0,324.0,387.0,330.0,C1b,0.0
878,JgRzAhKedY,201810.0,20181031.0,,,,,,,C1b,0.0
879,QOCx9Grtpb,201905.0,20190531.0,692.0,796.0,824.0,824.0,,,C1b,0.0
880,l3s7lDUajT,201809.0,20180930.0,,,,,,,D,0.0
881,YYaV0xxXLo,201810.0,20181031.0,,,,,,,C3,0.0
882,EqWeovuoTa,202002.0,20200229.0,273.0,439.0,526.0,615.0,615.0,389.0,C1b,0.0
883,Sf2cE8dolB,201812.0,20181231.0,,,,,,,D,0.0
884,Hp3drPcwfh,201907.0,20190731.0,0.0,0.0,0.0,1.0,21.0,44.0,D,0.0
885,M2HkOvTUC9,201810.0,20181031.0,,,,,,,C1b,0.0
886,AN196ZXP8h,201912.0,20191231.0,711.0,711.0,747.0,747.0,630.0,630.0,D,0.0
887,HadycfhELX,201903.0,20190331.0,724.0,720.0,,,,,D,0.0
888,8i5FjWBmde,201908.0,20190831.0,405.0,405.0,402.0,433.0,402.0,487.0,D,0.0
889,KO170353aB,201909.0,20190930.0,840.0,840.0,840.0,784.0,784.0,781.0,C3,0.0
890,6eJYE5n4Fe,201809.0,20180930.0,,,,,,,C3,0.0
891,n400r9qi87,201812.0,20181231.0,,,,,,,C3,0.0
892,fzThMCjQTW,201812.0,20181231.0,,,,,,,E,0.0
893,qvZelOhkRB,201903.0,20190331.0,670.0,670.0,,,,,C2,0.0
894,bYBGiiqVza,201901.0,20190131.0,,,,,,,C2,0.0
895,AGYiLkmspv,202002.0,20200229.0,294.0,465.0,685.0,602.0,602.0,420.0,E,0.0
896,eKrPqzWlfQ,201908.0,20190831.0,654.0,611.0,343.0,303.0,343.0,562.0,E,0.0
897,sEfyqwZuE8,201812.0,20181231.0,,,,,,,E,0.0
898,tZFZoLjIwN,201912.0,20191231.0,811.0,810.0,810.0,850.0,850.0,850.0,C1b,0.0
899,59xgZd07jm,201910.0,20191031.0,252.0,66.0,10.0,282.0,278.0,64.0,C3,0.0
900,K5qYgcIwUB,201912.0,20191231.0,338.0,561.0,556.0,510.0,510.0,510.0,E,0.0
901,oD2tTfJdJs,201808.0,20180831.0,,,,,,,E,0.0
902,ttZyvwW2ON,201811.0,20181130.0,,,,,,,C3,0.0
903,LNta14j2sD,201902.0,20190228.0,14.0,,,,,,C3,0.0
904,9KKyQVWXDc,201810.0,20181031.0,,,,,,,C3,0.0
905,4sk9dLCuU6,201907.0,20190731.0,685.0,685.0,685.0,724.0,685.0,640.0,C3,0.0
906,Z4tr5L8ebT,202002.0,20200229.0,581.0,425.0,576.0,338.0,338.0,663.0,D,0.0
907,yKbF8LYWko,201812.0,20181231.0,,,,,,,E,0.0
908,VOrMasi660,201908.0,20190831.0,709.0,705.0,823.0,848.0,848.0,795.0,C2,0.0
909,mOZv0tXU4l,201908.0,20190831.0,494.0,585.0,670.0,746.0,746.0,746.0,C3,0.0
910,hYXmVc9XK8,201811.0,20181130.0,,,,,,,D,0.0
911,IlxyDDoixP,202002.0,20200229.0,563.0,729.0,729.0,729.0,729.0,725.0,C3,0.0
912,Gl523F6qSx,201902.0,20190228.0,316.0,,,,,,D,0.0
913,7hGn3UP7t9,201810.0,20181031.0,,,,,,,D,0.0
914,8AyT0Pvxjm,201908.0,20190831.0,657.0,525.0,525.0,525.0,610.0,610.0,C3,0.0
915,6fVAdnPPIg,201812.0,20181231.0,,,,,,,C2,0.0
916,quarW8b3w9,201811.0,20181130.0,,,,,,,C3,0.0
917,4sQgHNB4Ku,201904.0,20190430.0,424.0,424.0,561.0,,,,E,0.0
918,qZp2KUedLx,201912.0,20191231.0,664.0,703.0,703.0,703.0,699.0,699.0,C3,0.0
919,ZPiYaXYDtc,201906.0,20190630.0,285.0,216.0,249.0,454.0,546.0,,D,0.0
920,Kibz7iMwEz,201812.0,20181231.0,,,,,,,C3,0.0
921,CBxjsE2KEE,202001.0,20200131.0,606.0,557.0,601.0,601.0,644.0,557.0,D,0.0
922,ATtbeIobBv,201912.0,20191231.0,662.0,662.0,662.0,530.0,272.0,272.0,E,0.0
923,SH4xEwinPs,201911.0,20191130.0,443.0,535.0,535.0,742.0,199.0,666.0,C1b,0.0
924,eUowrMspjI,202003.0,20200331.0,648.0,648.0,648.0,605.0,605.0,605.0,D,0.0
925,cuZ6DxfpHZ,201810.0,20181031.0,,,,,,,E,0.0
926,e0AxUhFdDF,201912.0,20191231.0,661.0,574.0,619.0,574.0,661.0,522.0,C1b,0.0
927,tIhVYs6ukR,201909.0,20190930.0,576.0,771.0,771.0,670.0,494.0,494.0,C3,0.0
928,aqeReEdNmE,201911.0,20191130.0,147.0,172.0,147.0,265.0,251.0,497.0,C1b,0.0
929,8KbsOn6Hh9,202001.0,20200131.0,166.0,257.0,464.0,556.0,556.0,556.0,D,0.0
930,ED841VdYDX,201812.0,20181231.0,,,,,,,E,0.0
931,MPq603tcW0,201908.0,20190831.0,235.0,235.0,235.0,235.0,235.0,235.0,C1b,0.0
932,Q912tkVEfW,201809.0,20180930.0,,,,,,,D,0.0
933,5tebQq90C2,201902.0,20190228.0,741.0,,,,,,C2,0.0
934,eBzkUUxHRq,201808.0,20180831.0,,,,,,,Z,0.0
935,69TdTFbjcH,201901.0,20190131.0,,,,,,,E,0.0
936,eZGqMGvLqM,202001.0,20200131.0,630.0,541.0,541.0,536.0,490.0,380.0,E,0.0
937,jtefDpcVV9,201812.0,20181231.0,,,,,,,C2,0.0
938,7jzvFc75Uw,201903.0,20190331.0,32.0,32.0,,,,,C1b,0.0
939,qdg12T2PSx,201812.0,20181231.0,,,,,,,D,0.0
940,cZi7BNBjNV,201904.0,20190430.0,380.0,370.0,360.0,,,,C2,0.0
941,KQkTq2gAhS,201908.0,20190831.0,588.0,543.0,543.0,543.0,588.0,583.0,D,0.0
942,bJRcsXFfQV,201811.0,20181130.0,,,,,,,D,0.0
943,gK3En5i6iA,201812.0,20181231.0,,,,,,,C3,0.0
944,txxcWB57fk,201909.0,20190930.0,39.0,16.0,92.0,307.0,616.0,658.0,C3,0.0
945,sdFfilAeUR,201907.0,20190731.0,760.0,760.0,760.0,760.0,760.0,760.0,D,0.0
946,UX5I2UjzbT,201909.0,20190930.0,736.0,736.0,828.0,828.0,828.0,828.0,E,0.0
947,d955FmiVLU,201808.0,20180831.0,,,,,,,C2,0.0
948,QN5ke8PiC0,201912.0,20191231.0,676.0,675.0,675.0,738.0,738.0,738.0,C1a,0.0
949,Ha639fTbJv,201904.0,20190430.0,753.0,753.0,753.0,,,,C3,0.0
950,Go2CRyFFLa,201912.0,20191231.0,632.0,596.0,596.0,680.0,459.0,370.0,C3,0.0
951,d7wJ9bDrnb,201808.0,20180831.0,,,,,,,E,0.0
952,5X2X3NtpJH,202001.0,20200131.0,717.0,593.0,524.0,474.0,723.0,791.0,C1a,0.0
953,ha4N6x8ytr,201807.0,20180731.0,,,,,,,C3,0.0
954,xFsSALfiHQ,201905.0,20190531.0,513.0,604.0,687.0,687.0,,,D,0.0
955,gnwJPlr58w,201812.0,20181231.0,,,,,,,E,0.0
956,rlxZmlbLvE,201903.0,20190331.0,670.0,670.0,,,,,D,0.0
957,ozghfUJAOz,201808.0,20180831.0,,,,,,,C2,0.0
958,tr9J4vjOx3,201906.0,20190630.0,528.0,699.0,699.0,699.0,699.0,,C2,0.0
959,FMO6A4UVuO,201911.0,20191130.0,571.0,526.0,521.0,566.0,611.0,611.0,C1a,0.0
960,SC8K7ScXMf,201904.0,20190430.0,647.0,647.0,688.0,,,,D,0.0
961,azpHre9FP9,202003.0,20200331.0,243.0,243.0,243.0,243.0,243.0,243.0,C2,0.0
962,ZayruNkXsP,201905.0,20190531.0,670.0,670.0,149.0,670.0,,,C1b,0.0
963,UzIt4zEneR,201906.0,20190630.0,536.0,706.0,706.0,706.0,625.0,,D,0.0
964,s7bjygx3NP,201904.0,20190430.0,585.0,585.0,670.0,,,,C3,0.0
965,7uaGyYRPbT,201903.0,20190331.0,463.0,555.0,,,,,E,0.0
966,rN8oHUQypZ,201906.0,20190630.0,636.0,629.0,629.0,629.0,629.0,,AB,0.0
967,Vf5mZGAp2n,201901.0,20190131.0,,,,,,,D,0.0
968,fvDcSquexS,201905.0,20190531.0,710.0,710.0,746.0,746.0,,,E,0.0
969,siKJRzd0WE,201811.0,20181130.0,,,,,,,E,0.0
970,xF9Ba8MCzk,201808.0,20180831.0,,,,,,,C2,0.0
971,GBTFfH45np,201812.0,20181231.0,,,,,,,D,0.0
972,tUVrsa0TZw,201809.0,20180930.0,,,,,,,C3,0.0
973,BWP7J8aVu8,201812.0,20181231.0,,,,,,,D,0.0
974,m9H1sxRMXs,201909.0,20190930.0,701.0,272.0,272.0,272.0,697.0,657.0,D,0.0
975,fyd6HbSGNV,202001.0,20200131.0,736.0,798.0,720.0,682.0,682.0,756.0,C2,0.0
976,bQ6iAzolpz,201812.0,20181231.0,,,,,,,C3,0.0
977,5KDkIi1Qjc,201809.0,20180930.0,,,,,,,D,0.0
978,n03Hq1hl9L,201809.0,20180930.0,,,,,,,C1b,0.0
979,EJO8W5CWR7,201812.0,20181231.0,,,,,,,C3,0.0
980,8zpA86W8Ns,201810.0,20181031.0,,,,,,,E,0.0
981,w7dZ6gzEpb,201809.0,20180930.0,,,,,,,Z,0.0
982,Zn0PGqNCv9,201810.0,20181031.0,,,,,,,D,0.0
983,oL1GrtFfhQ,201905.0,20190531.0,867.0,867.0,867.0,867.0,,,C1b,0.0
984,4f8jQL1byB,202002.0,20200229.0,748.0,659.0,781.0,655.0,655.0,744.0,E,0.0
985,4ba15j7YY1,201909.0,20190930.0,570.0,570.0,697.0,768.0,732.0,695.0,C1a,0.0
986,vBmYCMgQWz,201909.0,20190930.0,661.0,661.0,661.0,661.0,656.0,656.0,C2,0.0
987,bmmu7NJ8Qq,201911.0,20191130.0,388.0,267.0,388.0,388.0,478.0,478.0,,0.0
988,UjcaMGOGTz,201912.0,20191231.0,474.0,302.0,265.0,200.0,564.0,518.0,D,0.0
989,ihsWsOhdTT,201811.0,20181130.0,,,,,,,E,0.0
990,6dnI6TPVX8,201906.0,20190630.0,763.0,763.0,763.0,763.0,763.0,,E,0.0
991,gJlGho18g7,201906.0,20190630.0,540.0,540.0,670.0,670.0,670.0,,E,0.0
992,b2r7iUwYz6,201810.0,20181031.0,,,,,,,D,0.0
993,SqR3simGot,201812.0,20181231.0,,,,,,,C3,0.0
994,iL7cw6NIGM,201810.0,20181031.0,,,,,,,C3,0.0
995,8BFX7gv34x,201912.0,20191231.0,530.0,662.0,662.0,662.0,662.0,620.0,E,0.0
996,OV4nMv9TQG,202002.0,20200229.0,666.0,666.0,666.0,666.0,624.0,624.0,D,0.0
997,8D2wMBig0O,201911.0,20191130.0,300.0,300.0,300.0,300.0,300.0,296.0,D,0.0
998,09Iz4ddbCR,201912.0,20191231.0,761.0,761.0,761.0,761.0,761.0,761.0,E,0.0
999,I7MIsS1NOJ,201905.0,20190531.0,743.0,667.0,667.0,400.0,,,D,0.0
1000,pdhzmc9RTx,201904.0,20190430.0,781.0,778.0,778.0,,,,D,0.0
1001,QNNka0QnpW,201910.0,20191031.0,547.0,455.0,455.0,406.0,496.0,496.0,C3,0.0
1002,jTbt49QgC7,201912.0,20191231.0,795.0,795.0,791.0,791.0,791.0,791.0,C3,0.0
1003,WWcXRfwyVn,201808.0,20180831.0,,,,,,,D,0.0
1004,jzJWUaam8H,202002.0,20200229.0,608.0,729.0,729.0,729.0,729.0,729.0,E,0.0
1005,qM4b2lYw7L,201811.0,20181130.0,,,,,,,D,0.0
1006,ubRcaJHDsC,201809.0,20180930.0,,,,,,,D,0.0
1007,9Aaq1uWugN,201907.0,20190731.0,610.0,693.0,730.0,730.0,730.0,726.0,D,0.0
1008,mHEKry0EBb,201810.0,20181031.0,,,,,,,E,0.0
1009,plpb6QBYIz,201810.0,20181031.0,,,,,,,D,0.0
1010,DdIRow6NQt,201904.0,20190430.0,570.0,234.0,525.0,,,,C3,0.0
1011,zjwcB5UDyS,202001.0,20200131.0,193.0,115.0,223.0,223.0,130.0,567.0,C2,0.0
1012,7RAimHQWJj,201811.0,20181130.0,,,,,,,D,0.0
1013,oASYB8F6p9,201808.0,20180831.0,,,,,,,C3,0.0
1014,2qnoxxglki,201912.0,20191231.0,304.0,304.0,304.0,371.0,595.0,595.0,C3,0.0
1015,IRTrVH9yXU,201905.0,20190531.0,778.0,778.0,778.0,778.0,,,D,0.0
1016,uXmOSBIWlP,201810.0,20181031.0,,,,,,,E,0.0
1017,Hj3cFk7NKu,201908.0,20190831.0,514.0,477.0,268.0,761.0,761.0,758.0,D,0.0
1018,ifwa78FunY,202003.0,20200331.0,401.0,491.0,626.0,626.0,626.0,626.0,D,0.0
1019,CBrLXIFDsX,201908.0,20190831.0,735.0,698.0,698.0,694.0,731.0,731.0,D,0.0
1020,gj10gAkhhH,201808.0,20180831.0,,,,,,,E,0.0
1021,uHHso63Dam,201808.0,20180831.0,,,,,,,C3,0.0
1022,otRdGSC7ce,201909.0,20190930.0,635.0,716.0,716.0,716.0,677.0,501.0,C3,0.0
1023,fWK8XmSuII,201907.0,20190731.0,740.0,740.0,578.0,578.0,573.0,736.0,D,0.0
1024,9ymuZLKGuY,201905.0,20190531.0,614.0,614.0,614.0,657.0,,,C3,0.0
1025,X10flgNJlC,201912.0,20191231.0,504.0,551.0,413.0,505.0,505.0,328.0,C1b,0.0
1026,vAeF5DJPAI,201901.0,20190131.0,,,,,,,C1b,0.0
1027,xuaaj26kke,201902.0,20190228.0,601.0,,,,,,D,0.0
1028,yHXhnVMc9z,201808.0,20180831.0,,,,,,,C2,0.0
1029,RNp1ATvQUu,201809.0,20180930.0,,,,,,,D,0.0
1030,IVE9seqTMi,201906.0,20190630.0,733.0,733.0,733.0,733.0,733.0,,E,0.0
1031,jAMEIkLr0G,201904.0,20190430.0,770.0,259.0,255.0,,,,C3,0.0
1032,pDXJERU6ns,201912.0,20191231.0,808.0,741.0,741.0,704.0,775.0,775.0,C3,0.0
1033,6cpVsWHCce,201903.0,20190331.0,710.0,779.0,,,,,D,0.0
1034,Z25n9Hxekg,201911.0,20191130.0,653.0,653.0,653.0,653.0,606.0,499.0,C3,0.0
1035,i279YPdE78,201809.0,20180930.0,,,,,,,D,0.0
1036,ilQdjVX1Wf,201912.0,20191231.0,601.0,601.0,644.0,556.0,556.0,556.0,E,0.0
1037,UNEwEa5FGL,201810.0,20181031.0,,,,,,,D,0.0
1038,ZUKMcy4004,201909.0,20190930.0,255.0,255.0,287.0,411.0,218.0,162.0,C3,0.0
1039,6uR6DF374t,202001.0,20200131.0,203.0,203.0,203.0,203.0,257.0,681.0,D,0.0
1040,qi2VsQ6Lae,201910.0,20191031.0,811.0,811.0,712.0,712.0,712.0,808.0,D,0.0
1041,UyhpuF23ZC,201907.0,20190731.0,577.0,555.0,555.0,555.0,555.0,555.0,C3,0.0
1042,V32zdHz1FI,201909.0,20190930.0,678.0,752.0,752.0,717.0,717.0,717.0,D,0.0
1043,OETVKadWSd,201811.0,20181130.0,,,,,,,D,0.0
1044,fywUhCgK7j,202001.0,20200131.0,420.0,557.0,294.0,465.0,465.0,724.0,D,0.0
1045,1yKdjVZ0Bs,201910.0,20191031.0,711.0,711.0,780.0,780.0,780.0,780.0,C3,0.0
1046,rBNBYNU7pf,201901.0,20190131.0,,,,,,,D,0.0
1047,U9moSyqhLb,201807.0,20180731.0,,,,,,,C3,0.0
1048,pGMLigroP2,201807.0,20180731.0,,,,,,,C3,0.0
1049,jnRagsbcR9,201906.0,20190630.0,643.0,643.0,643.0,643.0,643.0,,D,0.0
1050,2Tg0K42qL7,201904.0,20190430.0,801.0,801.0,801.0,,,,C2,0.0
1051,2MgzUWyAGi,201812.0,20181231.0,,,,,,,C1a,0.0
